"","YEAR","INJURY","AUTOMOBILE","ALCOHOL"
"333",2010,"None","Yes","Yes"
"334",2010,"Major","Yes","Yes"
"335",2011,"None","Yes","Yes"
"336",2011,"Major","Yes","Yes"
"337",2010,"None","Yes","Yes"
"338",2011,"None","Yes","Yes"
"339",2010,"Major","Yes","Yes"
"340",2010,"None","Yes","Yes"
"341",2010,"None","Yes","Yes"
"342",2011,"Minor","Yes","Yes"
"343",2011,"None","Yes","Yes"
"344",2011,"Minor","Yes","Yes"
"345",2010,"None","Yes","Yes"
"346",2010,"Major","Yes","Yes"
"347",2010,"Minimal","Yes","Yes"
"348",2011,"Major","Yes","Yes"
"349",2011,"Minimal","Yes","Yes"
"350",2011,"None","Yes","Yes"
"351",2010,"Minor","Yes","Yes"
"352",2010,"Minor","Yes","Yes"
"353",2010,"None","Yes","Yes"
"354",2010,"Major","Yes","Yes"
"355",2010,"Minor","Yes","Yes"
"356",2010,"Major","Yes","Yes"
"357",2010,"Minimal","Yes","Yes"
"358",2010,"None","Yes","Yes"
"359",2010,"None","Yes","Yes"
"360",2011,"Major","Yes","Yes"
"361",2011,"None","Yes","Yes"
"362",2011,"None","Yes","Yes"
"363",2011,"Major","Yes","Yes"
"364",2011,"None","Yes","Yes"
"365",2011,"Major","Yes","Yes"
"366",2010,"Major","Yes","Yes"
"367",2010,"Major","Yes","Yes"
"368",2010,"Minimal","Yes","Yes"
"369",2010,"None","Yes","Yes"
"370",2010,"None","Yes","Yes"
"371",2010,"None","Yes","Yes"
"372",2010,"Minor","Yes","Yes"
"373",2010,"Major","Yes","Yes"
"374",2010,"Fatal","Yes","Yes"
"375",2010,"None","Yes","Yes"
"376",2010,"Minimal","Yes","Yes"
"377",2010,"None","Yes","Yes"
"378",2010,"None","Yes","Yes"
"379",2010,"None","Yes","Yes"
"380",2010,"None","Yes","Yes"
"381",2010,"Major","Yes","Yes"
"382",2010,"Major","Yes","Yes"
"383",2010,"None","Yes","Yes"
"384",2010,"Major","Yes","Yes"
"385",2010,"Major","Yes","Yes"
"386",2010,"None","Yes","Yes"
"387",2010,"None","Yes","Yes"
"388",2010,"None","Yes","Yes"
"389",2010,"None","Yes","Yes"
"390",2010,"None","Yes","Yes"
"391",2010,"Major","Yes","Yes"
"392",2010,"None","Yes","Yes"
"393",2010,"None","Yes","Yes"
"394",2010,"None","Yes","Yes"
"395",2010,"Major","Yes","Yes"
"396",2010,"Minor","Yes","Yes"
"397",2010,"Minor","Yes","Yes"
"398",2010,"Fatal","Yes","Yes"
"399",2010,"Major","Yes","Yes"
"400",2011,"None","Yes","Yes"
"401",2011,"Minor","Yes","Yes"
"402",2011,"Major","Yes","Yes"
"403",2011,"None","Yes","Yes"
"404",2012,"Major","Yes","Yes"
"405",2012,"None","Yes","Yes"
"406",2011,"Major","Yes","Yes"
"407",2011,"None","Yes","Yes"
"408",2011,"None","Yes","Yes"
"409",2011,"Minor","Yes","Yes"
"410",2012,"Minor","Yes","Yes"
"411",2012,"Minor","Yes","Yes"
"412",2012,"Major","Yes","Yes"
"413",2012,"Minor","Yes","Yes"
"414",2012,"None","Yes","Yes"
"415",2012,"Major","Yes","Yes"
"416",2011,"Major","Yes","Yes"
"417",2011,"None","Yes","Yes"
"418",2011,"None","Yes","Yes"
"419",2011,"Minimal","Yes","Yes"
"420",2011,"Minimal","Yes","Yes"
"421",2011,"None","Yes","Yes"
"422",2011,"None","Yes","Yes"
"423",2011,"None","Yes","Yes"
"424",2011,"Major","Yes","Yes"
"425",2011,"None","Yes","Yes"
"426",2011,"Major","Yes","Yes"
"427",2011,"None","Yes","Yes"
"428",2011,"Minimal","Yes","Yes"
"429",2011,"None","Yes","Yes"
"430",2011,"Major","Yes","Yes"
"431",2011,"Major","Yes","Yes"
"432",2011,"None","Yes","Yes"
"433",2011,"None","Yes","Yes"
"434",2012,"Major","Yes","Yes"
"435",2012,"None","Yes","Yes"
"436",2012,"None","Yes","Yes"
"437",2012,"Major","Yes","Yes"
"438",2012,"None","Yes","Yes"
"439",2012,"Fatal","Yes","Yes"
"440",2012,"None","Yes","Yes"
"441",2012,"Minor","Yes","Yes"
"442",2012,"None","Yes","Yes"
"443",2012,"Minimal","Yes","Yes"
"444",2012,"Major","Yes","Yes"
"445",2012,"None","Yes","Yes"
"446",2012,"Minor","Yes","Yes"
"447",2012,"None","Yes","Yes"
"448",2012,"None","Yes","Yes"
"449",2012,"Major","Yes","Yes"
"450",2012,"Major","Yes","Yes"
"451",2012,"None","Yes","Yes"
"452",2012,"Fatal","Yes","Yes"
"453",2012,"None","Yes","Yes"
"454",2012,"Minimal","Yes","Yes"
"455",2012,"None","Yes","Yes"
"456",2012,"Major","Yes","Yes"
"457",2012,"None","Yes","Yes"
"458",2012,"None","Yes","Yes"
"459",2012,"Major","Yes","Yes"
"460",2012,"None","Yes","Yes"
"461",2012,"Major","Yes","Yes"
"462",2012,"Minimal","Yes","Yes"
"463",2012,"None","Yes","Yes"
"464",2012,"Major","Yes","Yes"
"465",2012,"Major","Yes","Yes"
"466",2012,"None","Yes","Yes"
"467",2012,"Minimal","Yes","Yes"
"468",2012,"None","Yes","Yes"
"469",2012,"Major","Yes","Yes"
"470",2013,"None","Yes","Yes"
"471",2013,"None","Yes","Yes"
"472",2013,"Major","Yes","Yes"
"473",2013,"Fatal","Yes","Yes"
"474",2013,"None","Yes","Yes"
"475",2013,"Major","Yes","Yes"
"476",2013,"Minimal","Yes","Yes"
"477",2013,"Major","Yes","Yes"
"478",2013,"Minor","Yes","Yes"
"479",2013,"Minimal","Yes","Yes"
"480",2013,"None","Yes","Yes"
"481",2013,"None","Yes","Yes"
"482",2013,"None","Yes","Yes"
"483",2013,"Minimal","Yes","Yes"
"484",2013,"Minor","Yes","Yes"
"485",2013,"Minor","Yes","Yes"
"486",2013,"None","Yes","Yes"
"487",2013,"Minor","Yes","Yes"
"488",2013,"Major","Yes","Yes"
"489",2013,"None","Yes","Yes"
"490",2013,"Fatal","Yes","Yes"
"491",2014,"None","Yes","Yes"
"492",2014,"None","Yes","Yes"
"493",2014,"Major","Yes","Yes"
"494",2014,"None","Yes","Yes"
"495",2014,"Major","Yes","Yes"
"496",2014,"Major","Yes","Yes"
"497",2013,"Minimal","Yes","Yes"
"498",2014,"None","Yes","Yes"
"499",2014,"Minor","Yes","Yes"
"500",2014,"Minor","Yes","Yes"
"501",2013,"Minor","Yes","Yes"
"502",2013,"Major","Yes","Yes"
"503",2013,"Major","Yes","Yes"
"504",2013,"None","Yes","Yes"
"505",2013,"Major","Yes","Yes"
"506",2014,"Major","Yes","Yes"
"507",2014,"None","Yes","Yes"
"508",2014,"Major","Yes","Yes"
"509",2013,"Major","Yes","Yes"
"510",2014,"Major","Yes","Yes"
"511",2013,"Minimal","Yes","Yes"
"512",2013,"Major","Yes","Yes"
"513",2013,"Minor","Yes","Yes"
"514",2013,"Major","Yes","Yes"
"515",2013,"None","Yes","Yes"
"516",2013,"Major","Yes","Yes"
"517",2013,"Major","Yes","Yes"
"518",2013,"None","Yes","Yes"
"519",2013,"None","Yes","Yes"
"520",2013,"None","Yes","Yes"
"521",2013,"Fatal","Yes","Yes"
"522",2014,"Major","Yes","Yes"
"523",2014,"Major","Yes","Yes"
"524",2014,"Minor","Yes","Yes"
"525",2014,"Minor","Yes","Yes"
"526",2014,"Major","Yes","Yes"
"527",2014,"Minor","Yes","Yes"
"528",2014,"Minor","Yes","Yes"
"529",2014,"Minor","Yes","Yes"
"530",2014,"Fatal","Yes","Yes"
"531",2014,"Fatal","Yes","Yes"
"532",2014,"None","Yes","Yes"
"533",2015,"None","Yes","Yes"
"534",2015,"None","Yes","Yes"
"535",2015,"Major","Yes","Yes"
"536",2014,"Major","Yes","Yes"
"537",2014,"None","Yes","Yes"
"538",2014,"None","Yes","Yes"
"539",2014,"Major","Yes","Yes"
"540",2015,"Major","Yes","Yes"
"541",2015,"None","Yes","Yes"
"542",2015,"Major","Yes","Yes"
"543",2015,"None","Yes","Yes"
"544",2015,"None","Yes","Yes"
"545",2015,"Fatal","Yes","Yes"
"546",2015,"Major","Yes","Yes"
"547",2015,"None","Yes","Yes"
"548",2015,"Minor","Yes","Yes"
"549",2015,"Major","Yes","Yes"
"550",2015,"Major","Yes","Yes"
"551",2015,"Fatal","Yes","Yes"
"552",2015,"Major","Yes","Yes"
"553",2015,"Major","Yes","Yes"
"554",2015,"Minor","Yes","Yes"
"555",2015,"Major","Yes","Yes"
"556",2015,"Minimal","Yes","Yes"
"557",2015,"None","Yes","Yes"
"558",2015,"Minimal","Yes","Yes"
"559",2015,"Minimal","Yes","Yes"
"560",2015,"Minimal","Yes","Yes"
"561",2015,"Fatal","Yes","Yes"
"562",2015,"Minimal","Yes","Yes"
"563",2014,"Major","Yes","Yes"
"564",2014,"Minor","Yes","Yes"
"565",2014,"None","Yes","Yes"
"566",2014,"Major","Yes","Yes"
"567",2014,"Major","Yes","Yes"
"568",2016,"Minor","Yes","Yes"
"569",2016,"Minor","Yes","Yes"
"570",2016,"Fatal","Yes","Yes"
"571",2016,"None","Yes","Yes"
"572",2016,"Major","Yes","Yes"
"573",2016,"Major","Yes","Yes"
"574",2016,"Major","Yes","Yes"
"575",2016,"Minor","Yes","Yes"
"576",2015,"None","Yes","Yes"
"577",2015,"Minor","Yes","Yes"
"578",2015,"Minimal","Yes","Yes"
"579",2015,"Major","Yes","Yes"
"580",2015,"Major","Yes","Yes"
"581",2015,"Minimal","Yes","Yes"
"582",2016,"Fatal","Yes","Yes"
"583",2016,"Minor","Yes","Yes"
"584",2016,"Minor","Yes","Yes"
"585",2016,"Minor","Yes","Yes"
"586",2016,"Minor","Yes","Yes"
"587",2016,"Major","Yes","Yes"
"588",2016,"Major","Yes","Yes"
"589",2016,"None","Yes","Yes"
"590",2016,"None","Yes","Yes"
"591",2016,"Minor","Yes","Yes"
"592",2016,"Major","Yes","Yes"
"593",2016,"Major","Yes","Yes"
"594",2017,"Minimal","Yes","Yes"
"595",2017,"Major","Yes","Yes"
"596",2017,"None","Yes","Yes"
"597",2017,"Major","Yes","Yes"
"598",2017,"Major","Yes","Yes"
"599",2017,"None","Yes","Yes"
"600",2016,"Minimal","Yes","Yes"
"601",2016,"Minimal","Yes","Yes"
"602",2016,"Minimal","Yes","Yes"
"603",2016,"Minimal","Yes","Yes"
"604",2016,"Minimal","Yes","Yes"
"605",2016,"Major","Yes","Yes"
"606",2016,"Major","Yes","Yes"
"607",2016,"Minor","Yes","Yes"
"608",2017,"None","Yes","Yes"
"609",2017,"Minor","Yes","Yes"
"610",2017,"Fatal","Yes","Yes"
"611",2017,"Minor","Yes","Yes"
"612",2017,"Major","Yes","Yes"
"613",2017,"Minor","Yes","Yes"
"614",2017,"Minimal","Yes","Yes"
"615",2017,"Minor","Yes","Yes"
"616",2017,"Minimal","Yes","Yes"
"617",2017,"Major","Yes","Yes"
"618",2017,"Major","Yes","Yes"
"619",2017,"None","Yes","Yes"
"620",2017,"Minor","Yes","Yes"
"621",2017,"Major","Yes","Yes"
"622",2017,"Major","Yes","Yes"
"623",2017,"None","Yes","Yes"
"624",2017,"Major","Yes","Yes"
"625",2017,"Minor","Yes","Yes"
"626",2017,"Minimal","Yes","Yes"
"627",2016,"Major","Yes","Yes"
"628",2017,"None","Yes","Yes"
"629",2017,"Major","Yes","Yes"
"630",2017,"Minimal","Yes","Yes"
"631",2017,"Minimal","Yes","Yes"
"632",2017,"Fatal","Yes","Yes"
"633",2018,"Major","Yes","Yes"
"634",2018,"None","Yes","Yes"
"635",2018,"None","Yes","Yes"
"636",2018,"Major","Yes","Yes"
"637",2018,"Major","Yes","Yes"
"638",2018,"Major","Yes","Yes"
"639",2018,"Major","Yes","Yes"
"640",2018,"Minor","Yes","Yes"
"641",2018,"Minor","Yes","Yes"
"642",2018,"Major","Yes","Yes"
"643",2018,"Minimal","Yes","Yes"
"644",2018,"Major","Yes","Yes"
"645",2018,"None","Yes","Yes"
"646",2018,"Fatal","Yes","Yes"
"647",2017,"None","Yes","Yes"
"648",2017,"Fatal","Yes","Yes"
"649",2017,"Fatal","Yes","Yes"
"650",2017,"None","Yes","Yes"
"651",2018,"Major","Yes","Yes"
"652",2018,"None","Yes","Yes"
"653",2018,"None","Yes","Yes"
"654",2018,"Fatal","Yes","Yes"
"655",2018,"None","Yes","Yes"
"656",2018,"None","Yes","Yes"
"657",2018,"Major","Yes","Yes"
"658",2018,"Minimal","Yes","Yes"
"659",2018,"Major","Yes","Yes"
"660",2018,"Minor","Yes","Yes"
"661",2018,"None","Yes","Yes"
"662",2018,"Fatal","Yes","Yes"
"663",2018,"Major","Yes","Yes"
"664",2018,"Minor","Yes","Yes"
"665",2018,"Minimal","Yes","Yes"
"666",2019,"Major","Yes","Yes"
"667",2019,"Major","Yes","Yes"
"668",2019,"None","Yes","Yes"
"669",2019,"Major","Yes","Yes"
"670",2019,"None","Yes","Yes"
"671",2019,"Minimal","Yes","Yes"
"672",2019,"None","Yes","Yes"
"673",2019,"Major","Yes","Yes"
"674",2019,"None","Yes","Yes"
"675",2019,"Major","Yes","Yes"
"676",2019,"Major","Yes","Yes"
"677",2019,"None","Yes","Yes"
"678",2018,"Major","Yes","Yes"
"679",2018,"Minor","Yes","Yes"
"680",2018,"None","Yes","Yes"
"681",2018,"Major","Yes","Yes"
"682",2018,"Minor","Yes","Yes"
"683",2018,"Minor","Yes","Yes"
"684",2019,"Minor","Yes","Yes"
"685",2019,"Minor","Yes","Yes"
"686",2019,"Major","Yes","Yes"
"687",2019,"Minor","Yes","Yes"
"688",2019,"Minor","Yes","Yes"
"689",2019,"Minor","Yes","Yes"
"690",2019,"None","Yes","Yes"
"691",2019,"Major","Yes","Yes"
"692",2019,"Minimal","Yes","Yes"
"693",2019,"Minimal","Yes","Yes"
"694",2019,"Minimal","Yes","Yes"
"695",2019,"Major","Yes","Yes"
"696",2019,"None","Yes","Yes"
"697",2019,"Major","Yes","Yes"
"698",2019,"Major","Yes","Yes"
"699",2019,"Major","Yes","Yes"
"700",2019,"Minor","Yes","Yes"
"701",2019,"Minor","Yes","Yes"
"702",2019,"Major","Yes","Yes"
"703",2019,"Major","Yes","Yes"
"704",2019,"Major","Yes","Yes"
"705",2019,"Fatal","Yes","Yes"
"706",2019,"Major","Yes","Yes"
"707",2019,"Fatal","Yes","Yes"
"708",2019,"Minimal","Yes","Yes"
"709",2020,"None","Yes","Yes"
"710",2020,"Fatal","Yes","Yes"
"711",2020,"Minimal","Yes","Yes"
"712",2020,"Major","Yes","Yes"
"713",2020,"Major","Yes","Yes"
"714",2020,"Major","Yes","Yes"
"715",2020,"None","Yes","Yes"
"716",2020,"Major","Yes","Yes"
"717",2020,"Major","Yes","Yes"
"718",2020,"None","Yes","Yes"
"719",2019,"None","Yes","Yes"
"720",2019,"None","Yes","Yes"
"721",2019,"Major","Yes","Yes"
"722",2019,"Major","Yes","Yes"
"723",2021,"Major","Yes","Yes"
"724",2020,"None","Yes","Yes"
"725",2020,"Minimal","Yes","Yes"
"726",2020,"Major","Yes","Yes"
